,Items,Antecendete,Consequente,Suporte,Confiança,Lift
33,"{'1080', '771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', '1920'}","{'1080', '201.46.19.173', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
195,"{'chrome', '201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10', '1920'}","{'chrome', '201.46.19.173', 'America/Sao_Paulo', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
99,"{'1080', '201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'chrome'}","{'1080', 'America/Sao_Paulo', '201.46.19.173', 'chrome'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
98,"{'1080', '201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10'}","{'1080', 'America/Sao_Paulo', '201.46.19.173', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
94,"{'1080', '201.46.19.173', '771d19f2dd35546be40d4e07bbad1c53', 'chrome', '1920'}","{'1080', '201.46.19.173', 'chrome', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
158,"{'1080', '201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'chrome', '1920'}","{'1080', '201.46.19.173', 'America/Sao_Paulo', 'chrome', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
93,"{'1080', '201.46.19.173', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10', '1920'}","{'1080', '201.46.19.173', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
92,"{'1080', '201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', '1920'}","{'1080', 'America/Sao_Paulo', '201.46.19.173', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
37,"{'1080', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173'}","{'1080', 'America/Sao_Paulo', '201.46.19.173'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
38,"{'1080', '771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', 'Windows 10'}","{'1080', '201.46.19.173', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
39,"{'1080', '771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', 'chrome'}","{'1080', '201.46.19.173', 'chrome'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
143,"{'201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10', '1920'}","{'America/Sao_Paulo', '201.46.19.173', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
144,"{'201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'chrome', '1920'}","{'America/Sao_Paulo', '201.46.19.173', 'chrome', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
145,"{'chrome', '201.46.19.173', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10', '1920'}","{'chrome', '201.46.19.173', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
147,"{'chrome', '201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10'}","{'America/Sao_Paulo', '201.46.19.173', 'Windows 10', 'chrome'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
76,"{'771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', 'Windows 10', 'chrome'}","{'chrome', '201.46.19.173', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
75,"{'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', 'chrome'}","{'America/Sao_Paulo', '201.46.19.173', 'chrome'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
74,"{'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', 'Windows 10'}","{'America/Sao_Paulo', '201.46.19.173', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
70,"{'771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', 'chrome', '1920'}","{'201.46.19.173', 'chrome', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
69,"{'771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', 'Windows 10', '1920'}","{'201.46.19.173', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
68,"{'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', '201.46.19.173', '1920'}","{'America/Sao_Paulo', '201.46.19.173', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
161,"{'1080', 'chrome', '201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10'}","{'1080', 'chrome', '201.46.19.173', 'America/Sao_Paulo', 'Windows 10'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
157,"{'1080', '201.46.19.173', 'America/Sao_Paulo', '771d19f2dd35546be40d4e07bbad1c53', 'Windows 10', '1920'}","{'1080', '201.46.19.173', 'America/Sao_Paulo', 'Windows 10', '1920'}",{'771d19f2dd35546be40d4e07bbad1c53'},0.2,1.0,5.0
